TIMESTAMP | LEVEL | APP_NAME | TARGET_DOMAIN | TARGET_IP | PROTOCOL | PORT | DECISION | REASON
2025-06-01 14:26:26.370 | INFO | UpdaterService | updates.vendor.com | 10.0.0.5 | HTTPS | 993 | ALLOW | Request by 'UpdaterService' to 'updates.vendor.com' via 'HTTPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:26.902 | INFO | UpdaterService | updates.vendor.com | 10.0.0.5 | HTTPS | 80 | ALLOW | Request by 'UpdaterService' to 'updates.vendor.com' via 'HTTPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:27.147 | INFO | UnknownApp | wikipedia.org | 10.0.0.5 | DNS | 53 | ALLOW | Request by 'UnknownApp' to 'wikipedia.org' via 'DNS' matches app policy.
2025-06-01 14:26:27.505 | WARN | BrowserApp | imap.example.com | 192.168.1.100 | HTTPS | 993 | DENY | Request by 'BrowserApp' violated specific policy rules: Domain 'imap.example.com' not in allowed list. IP '192.168.1.100' not in allowed list.
2025-06-01 14:26:27.683 | INFO | MailClient | imap.example.com | 203.0.113.45 | IMAPS | 443 | ALLOW | Request by 'MailClient' to 'imap.example.com' via 'IMAPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:28.257 | WARN | UpdaterService | facebook.com | 203.0.113.45 | DNS | 80 | DENY | Request by 'UpdaterService' violated specific policy rules: Domain 'facebook.com' not in allowed list. Protocol 'DNS' not in allowed list.
2025-06-01 14:26:28.427 | INFO | UnknownApp | news.google.com | 10.0.0.5 | HTTPS | 53 | ALLOW | Request by 'UnknownApp' to 'news.google.com' via 'HTTPS' matches app policy.
2025-06-01 14:26:28.616 | WARN | UpdaterService | mybank.com | 1.1.1.1 | HTTPS | 993 | DENY | Request by 'UpdaterService' violated specific policy rules: Domain 'mybank.com' not in allowed list.
2025-06-01 14:26:29.110 | INFO | MailClient | smtp.example.com | 8.8.8.8 | SMTP | 25 | ALLOW | Request by 'MailClient' to 'smtp.example.com' via 'SMTP' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:29.498 | INFO | BrowserApp | news.google.com | 8.8.8.8 | HTTP | 21 | ALLOW | Request by 'BrowserApp' to 'news.google.com' via 'HTTP' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:30.009 | WARN | GameClient | gaming-server.net | 1.1.1.1 | FTP | 25 | DENY | No policy defined for app 'GameClient'. Applying global default: DENY
2025-06-01 14:26:30.511 | WARN | BrowserApp | news.google.com | 10.0.0.5 | HTTPS | 25 | DENY | Request by 'BrowserApp' violated specific policy rules: IP '10.0.0.5' not in allowed list.
2025-06-01 14:26:30.880 | WARN | UpdaterService | gaming-server.net | 8.8.8.8 | FTP | 993 | DENY | Request by 'UpdaterService' violated specific policy rules: Domain 'gaming-server.net' not in allowed list. Protocol 'FTP' not in allowed list.
2025-06-01 14:26:31.096 | INFO | UnknownApp | updates.vendor.com | 8.8.8.8 | DNS | 53 | ALLOW | Request by 'UnknownApp' to 'updates.vendor.com' via 'DNS' matches app policy.
2025-06-01 14:26:31.432 | INFO | UnknownApp | api.vendor.com | 10.0.0.5 | FTP | 53 | ALLOW | Request by 'UnknownApp' to 'api.vendor.com' via 'FTP' matches app policy.
2025-06-01 14:26:31.917 | INFO | MailClient | smtp.example.com | 1.1.1.1 | IMAPS | 443 | ALLOW | Request by 'MailClient' to 'smtp.example.com' via 'IMAPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:32.185 | WARN | BrowserApp | malicious-site.com | 203.0.113.45 | HTTP | 993 | DENY | Request by 'BrowserApp' violated specific policy rules: Domain 'malicious-site.com' not in allowed list. IP '203.0.113.45' not in allowed list.
2025-06-01 14:26:32.653 | WARN | GameClient | gaming-server.net | 10.0.0.5 | HTTP | 993 | DENY | No policy defined for app 'GameClient'. Applying global default: DENY
2025-06-01 14:26:33.005 | INFO | UnknownApp | random-domain.xyz | 1.1.1.1 | HTTP | 25 | ALLOW | Request by 'UnknownApp' to 'random-domain.xyz' via 'HTTP' matches app policy.
2025-06-01 14:26:33.440 | WARN | MailClient | api.vendor.com | 192.168.1.100 | SMTP | 443 | DENY | Request by 'MailClient' violated specific policy rules: Domain 'api.vendor.com' not in allowed list.
2025-06-01 14:26:33.882 | INFO | UpdaterService | updates.vendor.com | 1.1.1.1 | HTTPS | 80 | ALLOW | Request by 'UpdaterService' to 'updates.vendor.com' via 'HTTPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:34.229 | WARN | MailClient | api.vendor.com | 8.8.8.8 | FTP | 53 | DENY | Request by 'MailClient' violated specific policy rules: Domain 'api.vendor.com' not in allowed list. Protocol 'FTP' not in allowed list.
2025-06-01 14:26:34.535 | WARN | UpdaterService | malicious-site.com | 8.8.8.8 | HTTP | 80 | DENY | Request by 'UpdaterService' violated specific policy rules: Domain 'malicious-site.com' not in allowed list. Protocol 'HTTP' not in allowed list.
2025-06-01 14:26:34.836 | WARN | BrowserApp | news.google.com | 203.0.113.45 | HTTP | 21 | DENY | Request by 'BrowserApp' violated specific policy rules: IP '203.0.113.45' not in allowed list.
2025-06-01 14:26:35.176 | WARN | UpdaterService | api.vendor.com | 1.1.1.1 | HTTP | 53 | DENY | Request by 'UpdaterService' violated specific policy rules: Domain 'api.vendor.com' not in allowed list. Protocol 'HTTP' not in allowed list.
2025-06-01 14:26:35.610 | INFO | BrowserApp | news.google.com | 8.8.8.8 | HTTPS | 443 | ALLOW | Request by 'BrowserApp' to 'news.google.com' via 'HTTPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:26:35.616 | WARN | BrowserApp | malicious-site.com | 1.2.3.4 | HTTP | 80 | DENY | Request by 'BrowserApp' violated specific policy rules: Domain 'malicious-site.com' not in allowed list. IP '1.2.3.4' not in allowed list.
2025-06-01 14:45:27.111 | WARN | GameClient | updates.vendor.com | 1.1.1.1 | FTP | 25 | DENY | No policy defined for app 'GameClient'. Applying global default: DENY
2025-06-01 14:45:27.464 | WARN | BrowserApp | api.vendor.com | 203.0.113.45 | SMTP | 53 | DENY | Request by 'BrowserApp' violated specific policy rules: Domain 'api.vendor.com' not in allowed list. Protocol 'SMTP' not in allowed list. IP '203.0.113.45' not in allowed list.
2025-06-01 14:45:28.017 | WARN | MailClient | google.com | 1.1.1.1 | FTP | 21 | DENY | Request by 'MailClient' violated specific policy rules: Domain 'google.com' not in allowed list. Protocol 'FTP' not in allowed list.
2025-06-01 14:45:28.403 | WARN | MailClient | google.com | 203.0.113.45 | HTTPS | 993 | DENY | Request by 'MailClient' violated specific policy rules: Domain 'google.com' not in allowed list. Protocol 'HTTPS' not in allowed list.
2025-06-01 14:45:28.725 | WARN | UpdaterService | wikipedia.org | 203.0.113.45 | IMAPS | 443 | DENY | Request by 'UpdaterService' violated specific policy rules: Domain 'wikipedia.org' not in allowed list. Protocol 'IMAPS' not in allowed list.
2025-06-01 14:45:29.156 | WARN | MailClient | google.com | 10.0.0.5 | SMTP | 21 | DENY | Request by 'MailClient' violated specific policy rules: Domain 'google.com' not in allowed list.
2025-06-01 14:45:29.661 | WARN | GameClient | imap.example.com | 203.0.113.45 | FTP | 443 | DENY | No policy defined for app 'GameClient'. Applying global default: DENY
2025-06-01 14:45:29.845 | INFO | UpdaterService | updates.vendor.com | 8.8.8.8 | HTTPS | 443 | ALLOW | Request by 'UpdaterService' to 'updates.vendor.com' via 'HTTPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:45:30.366 | INFO | UnknownApp | google.com | 192.168.1.100 | SMTP | 443 | ALLOW | Request by 'UnknownApp' to 'google.com' via 'SMTP' matches app policy.
2025-06-01 14:45:30.828 | INFO | MailClient | imap.example.com | 10.0.0.5 | IMAPS | 80 | ALLOW | Request by 'MailClient' to 'imap.example.com' via 'IMAPS' matches app policy. Domain rule matched. Protocol rule matched.
2025-06-01 14:48:10.564 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:10.600 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:10.600 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:10.604 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:10.607 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:10.611 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:10.616 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:10.618 | INFO | GenericUDPApp | 239.255.255.250 | 239.255.255.250 | UDP | 1900 | ALLOW | Request by 'GenericUDPApp' to '239.255.255.250' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:11.821 | INFO | GenericTCPApp | 13.67.10.228 | 13.67.10.228 | TCP | 8883 | ALLOW | Request by 'GenericTCPApp' to '13.67.10.228' via 'TCP' matches app policy. Protocol rule matched.
2025-06-01 14:48:11.870 | INFO | GenericTCPApp | 192.168.0.102 | 192.168.0.102 | TCP | 53884 | ALLOW | Request by 'GenericTCPApp' to '192.168.0.102' via 'TCP' matches app policy. Protocol rule matched.
2025-06-01 14:48:11.918 | INFO | GenericTCPApp | 13.67.10.228 | 13.67.10.228 | TCP | 8883 | ALLOW | Request by 'GenericTCPApp' to '13.67.10.228' via 'TCP' matches app policy. Protocol rule matched.
2025-06-01 14:48:28.103 | INFO | GenericUDPApp | 34.107.205.1 | 34.107.205.1 | UDP | 443 | ALLOW | Request by 'GenericUDPApp' to '34.107.205.1' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:28.111 | INFO | GenericUDPApp | 34.107.205.1 | 34.107.205.1 | UDP | 443 | ALLOW | Request by 'GenericUDPApp' to '34.107.205.1' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:28.132 | INFO | GenericUDPApp | 192.168.0.102 | 192.168.0.102 | UDP | 63818 | ALLOW | Request by 'GenericUDPApp' to '192.168.0.102' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:28.138 | INFO | GenericUDPApp | 192.168.0.102 | 192.168.0.102 | UDP | 63818 | ALLOW | Request by 'GenericUDPApp' to '192.168.0.102' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:28.140 | INFO | GenericUDPApp | 192.168.0.102 | 192.168.0.102 | UDP | 63818 | ALLOW | Request by 'GenericUDPApp' to '192.168.0.102' via 'UDP' matches app policy. Protocol rule matched.
2025-06-01 14:48:28.148 | INFO | GenericUDPApp | 192.168.0.102 | 192.168.0.102 | UDP | 63818 | ALLOW | Request by 'GenericUDPApp' to '192.168.0.102' via 'UDP' matches app policy. Protocol rule matched.
